                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      author	                                                                                                                                                                                                                                                                                                           title	    year	                                       doi
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Edwards D. J. and Cortes M. and Rykman-Peltz A. and Chang J. and Elder J. and Thickbroom G. and Mariman J. J. and Gerber L. M. and Oromendia C. and Krebs H. I. and Fregni F. and Volpe B. T. and Pascual-Leone A.	                                                                                                                                                                                            Clinical improvement with intensive robot-assisted arm training in chronic stroke is unchanged by supplementary tDCS	    2019	                        10.3233/rnn-180869
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Kim D. and You S. and So S. and Lee J. and Yook S. and Jang D. P. and Kim I. Y. and Park E. and Cho K. and Cha W. C. and Shin D. W. and Cho B. H. and Park H. K.	                                                                                                                                                                                                                    A data-driven artificial intelligence model for remote triage in the prehospital environment	    2018	              10.1371/journal.pone.0206006
  Engelhardt K. R. and Gertz M. E. and Keles S. and Schaffer A. A. and Sigmund E. C. and Glocker C. and Saghafi S. and Pourpak Z. and Ceja R. and Sassi A. and Graham L. E. and Massaad M. J. and Mellouli F. and Ben-Mustapha I. and Khemiri M. and Kilic S. S. and Etzioni A. and Freeman A. F. and Thiel J. and Schulze I. and Al-Herz W. and Metin A. and Sanal O. and Tezcan I. and Yeganeh M. and Niehues T. and Dueckers G. and Weinspach S. and Patiroglu T. and Unal E. and Dasouki M. and Yilmaz M. and Genel F. and Aytekin C. and Kutukculer N. and Somer A. and Kilic M. and Reisli I. and Camcioglu Y. and Gennery A. R. and Cant A. J. and Jones A. and Gaspar B. H. and Arkwright P. D. and Pietrogrande M. C. and Baz Z. and Al-Tamemi S. and Lougaris V. and Lefranc G. and Megarbane A. and Boutros J. and Galal N. and Bejaoui M. and Barbouche M. R. and Geha R. S. and Chatila T. A. and Grimbacher B.	                                                                                                                                                                                                                       The extended clinical phenotype of 64 patients with dedicator of cytokinesis 8 deficiency	    2015	               10.1016/j.jaci.2014.12.1945
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Yim G. W. and Kim S. W. and Nam E. J. and Kim S. and Kim Y. T.	                                                                                                                                                                                             Perioperative complications of robot-assisted laparoscopic surgery using three robotic arms at a single institution	    2015	                 10.3349/ymj.2015.56.2.474
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Vanmulken D. A. and Spooren A. I. and Bongers H. M. and Seelen H. A.	                                                                                                                                                                                                 Robot-assisted task-oriented upper extremity skill training in cervical spinal cord injury: a feasibility study	    2015	                       10.1038/sc.2014.250
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Lu H. Y. and Li T. C. and Tu Y. K. and Tsai J. C. and Lai H. S. and Kuo L. T.	                                                                                                                                                                             Predicting long-term outcome after traumatic brain injury using repeated measurements of Glasgow Coma Scale and data mining methods	    2015	                 10.1007/s10916-014-0187-x
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Soreide K. and Thorsen K. and Soreide J. A.	                                                                                                                                                                   Predicting outcomes in patients with perforated gastroduodenal ulcers: artificial neural network modelling indicates a highly complex disease	    2015	                 10.1007/s00068-014-0417-4
                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Kessler R. C. and Warner C. H. and Ivany C. and Petukhova M. V. and Rose S. and Bromet E. J. and Brown M. 3rd and Cai T. and Colpe L. J. and Cox K. L. and Fullerton C. S. and Gilman S. E. and Gruber M. J. and Heeringa S. G. and Lewandowski-Romps L. and Li J. and Millikan-Bell A. M. and Naifeh J. A. and Nock M. K. and Rosellini A. J. and Sampson N. A. and Schoenbaum M. and Stein M. B. and Wessely S. and Zaslavsky A. M. and Ursano R. J.	                                                                                                                                                         Predicting suicides after psychiatric hospitalization in US Army soldiers: the Army Study To Assess Risk and rEsilience in Servicemembers (Army STARRS)	    2015	          10.1001/jamapsychiatry.2014.1754
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Burke Quinlan E. and Dodakian L. and See J. and McKenzie A. and Le V. and Wojnowicz M. and Shahbaba B. and Cramer S. C.	                                                                                                                                                                                                                                Neural function, injury, and stroke subtype predict treatment gains after stroke	    2015	                         10.1002/ana.24309
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Tsukahara A. and Hasegawa Y. and Eguchi K. and Sankai Y.	                                                                                                                                                                                               Restoration of gait for spinal cord injury patients using HAL with intention estimator for preferable swing speed	    2015	                10.1109/tnsre.2014.2364618
